,Username,Repo_name,Stars,Repo_url
0,babel,babel,40k,https://github.com/topics/3d/babel/babel
1,nylas,nylas-mail,24.6k,https://github.com/topics/ajax/nylas/nylas-mail
2,kriasoft,react-starter-kit,21k,https://github.com/topics/algorithm/kriasoft/react-starter-kit
3,avajs,ava,19.4k,https://github.com/topics/amphp/avajs/ava
4,electron-react-boilerplate,electron-react-boilerplate,18.6k,https://github.com/topics/android/electron-react-boilerplate/electron-react-boilerplate
5,swc-project,swc,17.7k,https://github.com/topics/angular/swc-project/swc
6,SimulatedGREG,electron-vue,14.5k,https://github.com/topics/ansible/SimulatedGREG/electron-vue
7,grab,front-end-guide,14k,https://github.com/topics/api/grab/front-end-guide
8,jamiebuilds,babel-handbook,10.5k,https://github.com/topics/arduino/jamiebuilds/babel-handbook
9,grommet,grommet,7.6k,https://github.com/topics/aspnet/grommet/grommet
10,developit,htm,7.3k,https://github.com/topics/atom/developit/htm
11,angular-fullstack,generator-angular-fullstack,6.1k,https://github.com/topics/awesome/angular-fullstack/generator-angular-fullstack
12,documentationjs,documentation,5.4k,https://github.com/topics/aws/documentationjs/documentation
13,insin,nwb,5.4k,https://github.com/topics/azure/insin/nwb
14,egoist,poi,5.3k,https://github.com/topics/babel/egoist/poi
15,thinkjs,thinkjs,5.3k,https://github.com/topics/bash/thinkjs/thinkjs
16,ben-rogerson,twin.macro,5k,https://github.com/topics/bitcoin/ben-rogerson/twin.macro
17,babel,babel-loader,4.6k,https://github.com/topics/bootstrap/babel/babel-loader
18,transitive-bullshit,create-react-library,4.5k,https://github.com/topics/bot/transitive-bullshit/create-react-library
19,jaredpalmer,backpack,4.5k,https://github.com/topics/c/jaredpalmer/backpack
20,duxianwei520,react,4.4k,https://github.com/topics/chrome/duxianwei520/react
21,babel,minify,4.3k,https://github.com/topics/chrome-extension/babel/minify
22,fkling,astexplorer,4.3k,https://github.com/topics/cli/fkling/astexplorer
23,tleunen,babel-plugin-module-resolver,3.1k,https://github.com/topics/clojure/tleunen/babel-plugin-module-resolver
24,andywer,webpack-blocks,3k,https://github.com/topics/code-quality/andywer/webpack-blocks
25,babel,babel-eslint,3k,https://github.com/topics/code-review/babel/babel-eslint
26,kunalkapadia,express-mongoose-es6-rest-api,2.8k,https://github.com/topics/compiler/kunalkapadia/express-mongoose-es6-rest-api
27,uidotdev,react-course,2.5k,https://github.com/topics/continuous-integration/uidotdev/react-course
28,thx,gogocode,2.4k,https://github.com/topics/covid-19/thx/gogocode
29,privatenumber,esbuild-loader,2.4k,https://github.com/topics/cpp/privatenumber/esbuild-loader
